Title,Platforms,Reviews,Players,Positives,Review_summary,Released,Price,Discount,Final_price,Main_tag,Url,All_tags
RimWorld - Biotech,"Win, Mac, Linux",2252,2252,93,Very Positive,"21 Oct, 2022","23,49€",0,"23,49€",Indie,https://store.steampowered.com/app/1826140/RimWorld__Biotech/?snr=1_7_7_240_150_1,"Indie, Strategy, Simulation"
Space Engineers,Win,77928,77928,89,Very Positive,"28 Feb, 2019","16,99€",0,"16,99€",Space,https://store.steampowered.com/app/244850/Space_Engineers/?snr=1_7_7_240_150_1,"Space, Sandbox, Building"
Expansion - Hearts of Iron IV: Arms Against Tyranny,"Win, Mac, Linux",,0,0,None,"10 Oct, 2023","19,99€",0,"19,99€",Strategy,https://store.steampowered.com/app/2183930/Expansion__Hearts_of_Iron_IV_Arms_Against_Tyranny/?snr=1_7_7_240_150_1,"Strategy, Simulation, Psychological Horror"
WARNO,Win,5811,5811,82,Very Positive,"20 Jan, 2022","39,99€",0,"39,99€",Early Access,https://store.steampowered.com/app/1611600/WARNO/?snr=1_7_7_240_150_1,"Early Access, Wargame, Military"
Astrea: Six-Sided Oracles,Win,755,763,96,Overwhelmingly Positive,"21 Sep, 2023","24,50€",None,0,Roguelike Deckbuilder,https://store.steampowered.com/app/1755830/Astrea_SixSided_Oracles/?snr=1_7_7_240_150_1,"Roguelike Deckbuilder, Card Battler, Roguelike"
Sid Meier’s Civilization® VI,"Win, Mac, Linux",202864,202864,85,Very Positive,"20 Oct, 2016","59,99€",0,"59,99€",Strategy,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_240_150_1,"Strategy, Turn-Based Strategy, Multiplayer"
Overcooked! 2,"Win, Mac, Linux",37848,37848,90,Very Positive,"7 Aug, 2018","22,99€",None,0,Multiplayer,https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_240_150_1,"Multiplayer, Online Co-Op, Local Co-Op"
Satisfactory,Win,120644,120644,97,Overwhelmingly Positive,"8 Jun, 2020","29,99€",0,"29,99€",Base Building,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_240_150_1,"Base Building, Automation, Open World"
Age of Empires II: Definitive Edition,Win,115551,115551,94,Very Positive,"14 Nov, 2019","19,99€",0,"19,99€",Strategy,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, City Builder"
Factorio,"Win, Mac, Linux",135136,135136,96,Overwhelmingly Positive,"14 Aug, 2020","32,00€",0,"32,00€",Automation,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_240_150_1,"Automation, Base Building, Resource Management"
GROUND BRANCH,Win,13715,13715,91,Very Positive,"14 Aug, 2018","24,99€",0,"24,99€",Tactical,https://store.steampowered.com/app/16900/GROUND_BRANCH/?snr=1_7_7_240_150_1,"Tactical, Realistic, Military"
Magic: The Gathering Arena,Win,4429,0,0,None,"23 May, 2023",0,None,0,Strategy,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena/?snr=1_7_7_240_150_1,"Strategy, Card Game, Trading Card Game"
RimWorld - Ideology,"Win, Mac, Linux",2665,2665,84,Very Positive,"20 Jul, 2021","17,99€",None,0,Strategy,https://store.steampowered.com/app/1392840/RimWorld__Ideology/?snr=1_7_7_240_150_1,"Strategy, Indie, Simulation"
Yu-Gi-Oh! Master Duel,Win,64762,64762,76,Mostly Positive,"18 Jan, 2022",0,None,0,Card Game,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_240_150_1,"Card Game, Free to Play, Strategy"
FOR HONOR™,Win,82878,0,0,None,"13 Feb, 2017","14,99€",0,"14,99€",Medieval,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_240_150_1,"Medieval, Swordplay, Action"
Crusader Kings III: Tours & Tournaments,"Win, Mac, Linux",1164,1164,79,Mostly Positive,"11 May, 2023","29,99€",0,"29,99€",Strategy,https://store.steampowered.com/app/2311920/Crusader_Kings_III_Tours__Tournaments/?snr=1_7_7_240_150_1,"Strategy, RPG, Simulation"
MARVEL SNAP,Win,18344,18344,82,Very Positive,"22 Aug, 2023",0,None,0,Card Battler,https://store.steampowered.com/app/1997040/MARVEL_SNAP/?snr=1_7_7_240_150_1,"Card Battler, Strategy, Free to Play"
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,"Win, Mac, Linux",2961,0,0,None,"13 Apr, 2023","24,99€",0,"24,99€",Strategy,https://store.steampowered.com/app/2059190/Total_War_WARHAMMER_III__Forge_of_the_Chaos_Dwarfs/?snr=1_7_7_240_150_1,"Strategy, Action, Violent"
Dwarf Fortress,"Win, Linux",19805,19805,95,Overwhelmingly Positive,"6 Dec, 2022","28,99€",0,"28,99€",Colony Sim,https://store.steampowered.com/app/975370/Dwarf_Fortress/?snr=1_7_7_240_150_1,"Colony Sim, Indie, Pixel Graphics"
Total War: WARHAMMER II,"Win, Mac, Linux",81612,81612,93,Very Positive,"28 Sep, 2017","59,99€",0,"59,99€",Strategy,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_240_150_1,"Strategy, Fantasy, Turn-Based Strategy"
Jurassic World Evolution 2,Win,18191,18191,87,Very Positive,"9 Nov, 2021","59,99€",None,0,Dinosaurs,https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2/?snr=1_7_7_240_150_1,"Dinosaurs, Building, Simulation"
Don't Starve Together,"Win, Mac, Linux",282648,282648,95,Overwhelmingly Positive,"21 Apr, 2016","14,99€",0,"14,99€",Survival,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"Survival, Open World Survival Craft, Multiplayer"
Heretic's Fork,Win,868,868,83,Very Positive,"13 Sep, 2023","9,75€",0,"9,75€",Deckbuilding,https://store.steampowered.com/app/2181610/Heretics_Fork/?snr=1_7_7_240_150_1,"Deckbuilding, Arcade, Action"
Cult of the Lamb,"Win, Mac",51528,51528,94,Very Positive,"11 Aug, 2022","22,99€",0,"22,99€",Base Building,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb/?snr=1_7_7_240_150_1,"Base Building, Cute, Character Customization"
Across the Obelisk,"Win, Mac, Linux",7441,7441,90,Very Positive,"16 Aug, 2022","19,99€",0,"19,99€",Co-op,https://store.steampowered.com/app/1385380/Across_the_Obelisk/?snr=1_7_7_240_150_1,"Co-op, Roguelike Deckbuilder, Card Game"
Golf With Your Friends,"Win, Mac, Linux",39391,39391,89,Very Positive,"19 May, 2020","14,99€",0,"14,99€",Multiplayer,https://store.steampowered.com/app/431240/Golf_With_Your_Friends/?snr=1_7_7_240_150_1,"Multiplayer, Casual, Mini Golf"
Age of Wonders 4,Win,7856,7856,80,Very Positive,"2 May, 2023","49,99€",0,"49,99€",Strategy,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_240_150_1,"Strategy, 4X, Fantasy"
Total War: WARHAMMER III - Shadows of Change,"Win, Mac, Linux",2029,0,0,None,"31 Aug, 2023","24,99€",0,"24,99€",Strategy,https://store.steampowered.com/app/2325830/Total_War_WARHAMMER_III__Shadows_of_Change/?snr=1_7_7_240_150_1,"Strategy, Action, Early Access"
War Robots,Win,19025,0,0,None,"4 Apr, 2018",0,None,0,Free to Play,https://store.steampowered.com/app/767560/War_Robots/?snr=1_7_7_240_150_1,"Free to Play, Robots, Action"
Thronefall,"Win, Mac",5399,5399,97,Overwhelmingly Positive,"2 Aug, 2023","6,89€",0,"6,89€",Strategy,https://store.steampowered.com/app/2239150/Thronefall/?snr=1_7_7_240_150_1,"Strategy, Tower Defense, City Builder"
Yu-Gi-Oh! Duel Links,Win,40610,40610,83,Very Positive,"16 Nov, 2017",0,None,0,Free to Play,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_240_150_1,"Free to Play, Card Game, Anime"
Gloomhaven,"Win, Mac",11248,11248,85,Very Positive,"20 Oct, 2021","34,99€",0,"34,99€",Dark Fantasy,https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_240_150_1,"Dark Fantasy, Turn-Based Combat, Card Game"
Tabletop Simulator,"Win, Mac, Linux",36353,36353,96,Overwhelmingly Positive,"5 Jun, 2015","19,99€",0,"19,99€",Tabletop,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_240_150_1,"Tabletop, Board Game, Simulation"
Total War: PHARAOH,"Win, Mac",,0,0,None,"11 Oct, 2023","59,99€",0,"59,99€",Strategy,https://store.steampowered.com/app/1937780/Total_War_PHARAOH/?snr=1_7_7_240_150_1,"Strategy, Action, RTS"
Car Mechanic Simulator 2021,Win,20216,20216,96,Overwhelmingly Positive,"11 Aug, 2021","24,50€",0,"24,50€",Simulation,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_240_150_1,"Simulation, Automobile Sim, Sandbox"
Farthest Frontier,Win,13688,13688,85,Very Positive,"9 Aug, 2022","28,99€",0,"28,99€",Early Access,https://store.steampowered.com/app/1044720/Farthest_Frontier/?snr=1_7_7_240_150_1,"Early Access, City Builder, Survival"
Total War: WARHAMMER,"Win, Mac, Linux",30575,30575,79,Mostly Positive,"24 May, 2016","59,99€",0,"59,99€",Strategy,https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_240_150_1,"Strategy, Fantasy, RTS"
RimWorld - Royalty,"Win, Mac, Linux",1937,1937,83,Very Positive,24 févr. 2020,"17,99€",None,0,Stratégie,https://store.steampowered.com/app/1149640/RimWorld__Royalty/?snr=1_7_7_240_150_1,"Stratégie, Indépendant, Simulation"
Cartel Tycoon,Win,2165,2165,77,Mostly Positive,"26 Jul, 2022","28,99€",None,0,Top-Down,https://store.steampowered.com/app/1220140/Cartel_Tycoon/?snr=1_7_7_240_150_1,"Top-Down, RTS, Resource Management"
Slay the Spire,"Win, Mac, Linux",118743,118743,97,Overwhelmingly Positive,"23 Jan, 2019","22,99€",0,"22,99€",Roguelike Deckbuilder,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_240_150_1,"Roguelike Deckbuilder, Card Game, Card Battler"
Conqueror's Blade,Win,28004,28004,75,Mostly Positive,"30 May, 2019",0,None,0,Medieval,https://store.steampowered.com/app/905370/Conquerors_Blade/?snr=1_7_7_240_150_1,"Medieval, Tactical, Strategy"
Arma 3 Creator DLC: Spearhead 1944,Win,600,0,0,None,"25 Jul, 2023","17,99€",0,"17,99€",Action,https://store.steampowered.com/app/1175380/Arma_3_Creator_DLC_Spearhead_1944/?snr=1_7_7_240_150_1,"Action, Simulation, Strategy"
Call to Arms - Gates of Hell: Ostfront,Win,10114,10114,82,Very Positive,"11 Jun, 2021","29,99€",0,"29,99€",World War II,https://store.steampowered.com/app/400750/Call_to_Arms__Gates_of_Hell_Ostfront/?snr=1_7_7_240_150_1,"World War II, Strategy, Real Time Tactics"
Planet Zoo: Oceania Pack,Win,42,42,85,Positive,"19 Sep, 2023","9,99€",0,"9,99€",Strategy,https://store.steampowered.com/app/2502240/Planet_Zoo_Oceania_Pack/?snr=1_7_7_240_150_1,"Strategy, Casual, Simulation"
Stranded Deep,"Win, Mac, Linux",38030,38030,75,Mostly Positive,"10 Aug, 2022","15,99€",0,"15,99€",Open World Survival Craft,https://store.steampowered.com/app/313120/Stranded_Deep/?snr=1_7_7_240_150_1,"Open World Survival Craft, Survival, Multiplayer"
Football Manager 2024,"Win, Mac",,0,0,None,"6 Nov, 2023","59,99€",None,0,Simulation,https://store.steampowered.com/app/2252570/Football_Manager_2024/?snr=1_7_7_240_150_1,"Simulation, Sports, Strategy"
Warface,Win,82242,0,0,None,"1 Jul, 2014",0,None,0,Free to Play,https://store.steampowered.com/app/291480/Warface/?snr=1_7_7_240_150_1,"Free to Play, FPS, Realistic"
Eternal Return,Win,50349,50349,78,Mostly Positive,"19 Jul, 2023",0,None,0,Free to Play,https://store.steampowered.com/app/1049590/Eternal_Return/?snr=1_7_7_240_150_1,"Free to Play, Anime, Multiplayer"
Divinity: Original Sin 2 - Definitive Edition,"Win, Mac",147605,147605,95,Overwhelmingly Positive,"14 Sep, 2017","44,99€",0,"44,99€",Tactical RPG,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_240_150_1,"Tactical RPG, RPG, Turn-Based Strategy"
Arma 3 Apex,"Win, Mac",2319,2319,82,Very Positive,"11 Jul, 2016","19,99€",0,"19,99€",Simulation,https://store.steampowered.com/app/395180/Arma_3_Apex/?snr=1_7_7_240_150_1,"Simulation, Action, Military"
Across The Obelisk: Sands of Ulminin,"Win, Mac, Linux",107,0,0,None,"16 Aug, 2023","19,99€",0,"19,99€",Strategy,https://store.steampowered.com/app/2511580/Across_The_Obelisk_Sands_of_Ulminin/?snr=1_7_7_240_150_1,"Strategy, Adventure, RPG"
Kenshi,Win,63022,63022,95,Overwhelmingly Positive,"6 Dec, 2018","26,99€",0,"26,99€",Open World,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_240_150_1,"Open World, Sandbox, RPG"
Arma Reforger,Win,7683,0,0,None,"17 May, 2022","29,99€",0,"29,99€",Early Access,https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_240_150_1,"Early Access, Action, Simulation"
XCOM® 2,"Win, Mac, Linux",64582,64582,84,Very Positive,"4 Feb, 2016","199,39€",83,"33,90€",Strategy,https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_240_150_1,"Strategy, Turn-Based, Turn-Based Strategy"
The Long Dark,"Win, Mac, Linux",86722,86722,91,Very Positive,"1 Aug, 2017","19,50€",0,"19,50€",Survival,https://store.steampowered.com/app/305620/The_Long_Dark/?snr=1_7_7_240_150_1,"Survival, Open World Survival Craft, Open World"
