Games name,Platforms,Reviewers,,Positive percent,Comment,Released,Price,Discount,Discounted price,Type,URL,All_tags
Phoenix Point - Corrupted Horizons DLC,"Win, Mac",39,0,0,None,"1 Oct, 2021","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/1622220/Phoenix_Point__Corrupted_Horizons_DLC/?snr=1_7_7_240_150_12,"Strategy, RPG, Violent"
Factory Town,"Win, Mac",3701,3701,91,Very Positive,"17 Nov, 2021","16,79€",0,"16,79€",Automation,https://store.steampowered.com/app/860890/Factory_Town/?snr=1_7_7_240_150_12,"Automation, Base Building, Resource Management"
Trade Bots: A Technical Analysis Simulation,"Win, Mac, Linux",23,23,86,Positive,"18 Apr, 2023","11,79€",0,"11,79€",Immersive Sim,https://store.steampowered.com/app/1899350/Trade_Bots_A_Technical_Analysis_Simulation/?snr=1_7_7_240_150_12,"Immersive Sim, Education, Sandbox"
Star Trek Timelines,Win,1249,0,0,None,"12 Jul, 2017",0,None,0,Free to Play,https://store.steampowered.com/app/600750/Star_Trek_Timelines/?snr=1_7_7_240_150_12,"Free to Play, Strategy, Space"
Hard West 2,Win,1941,1941,79,Mostly Positive,"4 Aug, 2022","28,99€",0,"28,99€",Turn-Based Strategy,https://store.steampowered.com/app/1282410/Hard_West_2/?snr=1_7_7_240_150_12,"Turn-Based Strategy, Western, Turn-Based Tactics"
State of Survival,Win,81,0,0,None,"2 Aug, 2023",0,None,0,Strategy,https://store.steampowered.com/app/2485460/State_of_Survival/?snr=1_7_7_240_150_12,"Strategy, RPG, 4X"
Supreme Commander,Win,1835,1835,88,Very Positive,"28 Sep, 2011","9,99€",0,"9,99€",Strategy,https://store.steampowered.com/app/9350/Supreme_Commander/?snr=1_7_7_240_150_12,"Strategy, RTS, Sci-fi"
Party Hard 2,"Win, Mac",1743,1743,80,Very Positive,"25 Oct, 2018","19,50€",None,0,Indie,https://store.steampowered.com/app/572430/Party_Hard_2/?snr=1_7_7_240_150_12,"Indie, Violent, Action"
Tom Clancy's Rainbow Six® Vegas 2,Win,4398,4398,84,Very Positive,"16 Apr, 2008","9,99€",0,"9,99€",Tactical,https://store.steampowered.com/app/15120/Tom_Clancys_Rainbow_Six_Vegas_2/?snr=1_7_7_240_150_12,"Tactical, Action, FPS"
Defense Grid: Containment DLC,Win,13,13,92,Positive,"23 Jan, 2013","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/18523/Defense_Grid_Containment_DLC/?snr=1_7_7_240_150_12,"Strategy, Indie, Tower Defense"
Gloomhaven - Solo Scenarios: Mercenary Challenges,"Win, Mac",36,0,0,None,"22 Sep, 2022","4,99€",None,0,Strategy,https://store.steampowered.com/app/1958560/Gloomhaven__Solo_Scenarios_Mercenary_Challenges/?snr=1_7_7_240_150_12,"Strategy, Adventure, RPG"
No Time to Relax,"Win, Mac",1143,1143,94,Very Positive,"21 Aug, 2019","11,59€",0,"11,59€",Multiplayer,https://store.steampowered.com/app/829660/No_Time_to_Relax/?snr=1_7_7_240_150_12,"Multiplayer, 4 Player Local, Board Game"
