,Games name,Platforms,Multiplatform,Reviewers,Unnamed: 3,Positive percent,Comment,Released,Day_since_release,Price,Discount,On_sale,Discounted price,Type,URL,All_tags
23,World of Tanks Blitz,"Win, Mac",1,131643.0,131643,80,Very Positive,"9 Nov, 2016",2514,0,100.0,1,0,Tanks,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/?snr=1_7_7_240_150_1,"Tanks, Free to Play, Shooter"
24,RimWorld,"Win, Mac, Linux",1,141162.0,141162,98,Overwhelmingly Positive,"17 Oct, 2018",1807,"31,99€",0.0,0,"31,99€",Colony Sim,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"Colony Sim, Base Building, Survival"
25,Hell Let Loose,Win,0,69200.0,69200,84,Very Positive,"27 Jul, 2021",793,"44,99€",0.0,0,"44,99€",Shooter,https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_240_150_1,"Shooter, World War II, FPS"
26,Total War: WARHAMMER,"Win, Mac, Linux",1,30557.0,30557,79,Mostly Positive,"24 May, 2016",2683,"59,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_240_150_1,"Strategy, Fantasy, RTS"
27,Bloons TD 6,"Win, Mac",1,241360.0,241360,97,Overwhelmingly Positive,"17 Dec, 2018",1746,"13,79€",0.0,0,"13,79€",Tower Defense,https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_240_150_1,"Tower Defense, Strategy, Multiplayer"
28,Stellaris,"Win, Mac, Linux",1,108183.0,108183,88,Very Positive,"9 May, 2016",2698,"39,99€",0.0,0,"39,99€",Space,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_240_150_1,"Space, Grand Strategy, Strategy"
29,FOR HONOR™,Win,0,82668.0,0,0,,"13 Feb, 2017",2418,"14,99€",100.0,1,0,Medieval,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_240_150_1,"Medieval, Swordplay, Action"
30,Total War: THREE KINGDOMS,"Win, Mac, Linux",1,54691.0,54691,82,Very Positive,"23 May, 2019",1589,"59,99€",100.0,1,0,策略,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_240_150_1,"策略, 历史, 战争"
31,Factorio,"Win, Mac, Linux",1,134880.0,134880,96,Overwhelmingly Positive,"14 Aug, 2020",1140,"32,00€",0.0,0,"32,00€",Automation,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_240_150_1,"Automation, Base Building, Resource Management"
32,Age of Empires IV: Anniversary Edition,Win,0,41883.0,41883,86,Very Positive,"28 Oct, 2021",700,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, War"
33,Two Point Campus,"Win, Mac, Linux",1,2483.0,2483,88,Very Positive,"9 Aug, 2022",415,"29,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/1649080/Two_Point_Campus/?snr=1_7_7_240_150_1,"Simulation, Management, Strategy"
34,Total War: WARHAMMER III - Forge of the Chaos Dwarfs,"Win, Mac, Linux",1,2962.0,0,0,,"13 Apr, 2023",168,"24,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/2059190/Total_War_WARHAMMER_III__Forge_of_the_Chaos_Dwarfs/?snr=1_7_7_240_150_1,"Strategy, Action, Violent"
35,Sid Meier’s Civilization® VI,"Win, Mac, Linux",1,202426.0,202426,85,Very Positive,"20 Oct, 2016",2534,"59,99€",0.0,0,"59,99€",Strategy,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_240_150_1,"Strategy, Turn-Based Strategy, Multiplayer"
36,PAYDAY 2,"Win, Linux",1,417031.0,417031,89,Very Positive,"13 Aug, 2013",3698,"9,99€",0.0,0,"9,99€",Co-op,https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_240_150_1,"Co-op, Action, FPS"
37,Squad,Win,0,105984.0,105984,88,Very Positive,"23 Sep, 2020",1100,"44,99€",0.0,0,"44,99€",Military,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_240_150_1,"Military, Realistic, FPS"
38,HUMANKIND™,"Win, Mac",1,18447.0,0,0,,"17 Aug, 2021",772,"49,99€",0.0,0,"49,99€",Strategy,https://store.steampowered.com/app/1124300/HUMANKIND/?snr=1_7_7_240_150_1,"Strategy, Turn-Based Strategy, City Builder"
39,Europa Universalis IV,"Win, Mac, Linux",1,81407.0,81407,86,Very Positive,"13 Aug, 2013",3698,"39,99€",0.0,0,"39,99€",Grand Strategy,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_240_150_1,"Grand Strategy, Historical, Simulation"
40,Total War: WARHAMMER III - Shadows of Change,"Win, Mac, Linux",1,1987.0,0,0,,"31 Aug, 2023",28,"24,99€",0.0,0,"24,99€",Strategy,https://store.steampowered.com/app/2325830/Total_War_WARHAMMER_III__Shadows_of_Change/?snr=1_7_7_240_150_1,"Strategy, Action, Early Access"
41,Total War: ROME II - Emperor Edition,Win,0,44545.0,44545,85,Very Positive,"2 Sep, 2013",3678,"59,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_7_7_240_150_1,"Strategy, Historical, Turn-Based Strategy"
42,Space Engineers,Win,0,77957.0,77957,89,Very Positive,"28 Feb, 2019",1673,"16,99€",0.0,0,"16,99€",Space,https://store.steampowered.com/app/244850/Space_Engineers/?snr=1_7_7_240_150_1,"Space, Sandbox, Building"
43,Madden NFL 24,Win,0,1631.0,0,0,,"17 Aug, 2023",42,"69,99€",0.0,0,"69,99€",Simulation,https://store.steampowered.com/app/2140330/Madden_NFL_24/?snr=1_7_7_240_150_1,"Simulation, Sports, Strategy"
44,Magic: The Gathering Arena,Win,0,4240.0,0,0,,"23 May, 2023",128,0,100.0,1,0,Strategy,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena/?snr=1_7_7_240_150_1,"Strategy, Card Game, Trading Card Game"
45,Aliens: Dark Descent,Win,0,6600.0,6600,88,Very Positive,"19 Jun, 2023",101,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/1150440/Aliens_Dark_Descent/?snr=1_7_7_240_150_1,"Strategy, Action, Tactical"
46,Slay the Spire,"Win, Mac, Linux",1,118315.0,118315,97,Overwhelmingly Positive,"23 Jan, 2019",1709,"20,99€",100.0,1,0,Roguelike Deckbuilder,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_240_150_1,"Roguelike Deckbuilder, Card Game, Card Battler"
47,Expansion - Hearts of Iron IV: Arms Against Tyranny,"Win, Mac, Linux",1,,0,0,,"10 Oct, 2023",-11,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/2183930/Expansion__Hearts_of_Iron_IV_Arms_Against_Tyranny/?snr=1_7_7_240_150_1,"Strategy, Simulation, Hentai"
48,SMITE®,Win,0,111846.0,111846,79,Mostly Positive,"8 Sep, 2015",2942,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer"
49,Golf With Your Friends,"Win, Mac, Linux",1,39358.0,39358,89,Very Positive,"19 May, 2020",1227,"14,99€",0.0,0,"14,99€",Multiplayer,https://store.steampowered.com/app/431240/Golf_With_Your_Friends/?snr=1_7_7_240_150_1,"Multiplayer, Casual, Mini Golf"
50,GROUND BRANCH,Win,0,13646.0,13646,91,Very Positive,"14 Aug, 2018",1871,"24,99€",0.0,0,"24,99€",Tactical,https://store.steampowered.com/app/16900/GROUND_BRANCH/?snr=1_7_7_240_150_1,"Tactical, Realistic, Military"
51,MONOPOLY Poker,Win,0,4624.0,4624,70,Mostly Positive,"3 Jun, 2021",847,0,100.0,1,0,Casual,https://store.steampowered.com/app/1474700/MONOPOLY_Poker/?snr=1_7_7_240_150_1,"Casual, Multiplayer, Free to Play"
52,RimWorld - Biotech,"Win, Mac, Linux",1,2245.0,2245,93,Very Positive,"21 Oct, 2022",342,"23,49€",0.0,0,"23,49€",Indie,https://store.steampowered.com/app/1826140/RimWorld__Biotech/?snr=1_7_7_240_150_1,"Indie, Strategy, Simulation"
53,Age of Empires II: Definitive Edition,Win,0,115287.0,115287,94,Very Positive,"14 Nov, 2019",1414,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, City Builder"
54,Heretic's Fork,Win,0,654.0,654,79,Mostly Positive,"13 Sep, 2023",15,"9,75€",0.0,0,"9,75€",Deckbuilding,https://store.steampowered.com/app/2181610/Heretics_Fork/?snr=1_7_7_240_150_1,"Deckbuilding, Arcade, Action"
55,Total War: ATTILA,"Win, Linux",1,22259.0,22259,81,Very Positive,"17 Feb, 2015",3145,"44,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/325610/Total_War_ATTILA/?snr=1_7_7_240_150_1,"Strategy, Historical, War"
56,Cult of the Lamb,"Win, Mac",1,51343.0,51343,94,Very Positive,"11 Aug, 2022",413,"22,99€",0.0,0,"22,99€",Base Building,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb/?snr=1_7_7_240_150_1,"Base Building, Cute, Character Customization"
57,Totally Accurate Battle Simulator,"Win, Mac",1,104899.0,104899,98,Overwhelmingly Positive,"1 Apr, 2021",910,"16,79€",100.0,1,0,Sandbox,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_240_150_1,"Sandbox, Simulation, Funny"
58,Gloomhaven,"Win, Mac",1,11189.0,11189,86,Very Positive,"20 Oct, 2021",708,"34,99€",100.0,1,0,Dark Fantasy,https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_240_150_1,"Dark Fantasy, Turn-Based Combat, Card Game"
59,Planet Coaster,"Win, Mac",1,49796.0,49796,91,Very Positive,"17 Nov, 2016",2506,"37,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/493340/Planet_Coaster/?snr=1_7_7_240_150_1,"Simulation, Building, Management"
60,Football Manager 2023,"Win, Mac",1,11772.0,11772,88,Very Positive,"7 Nov, 2022",325,"59,99€",0.0,0,"59,99€",Simulation,https://store.steampowered.com/app/1904540/Football_Manager_2023/?snr=1_7_7_240_150_1,"Simulation, Sports, Football (Soccer)"
