,Games name,Platforms,Multiplatform,Reviewers,Unnamed: 3,Positive percent,Comment,Released,Day_since_release,Price,Discount,On_sale,Discounted price,Type,URL,All_tags
885,XCOM 2: Shen's Last Gift,"Win, Mac, Linux",1,480.0,480,79,Mostly Positive,"30 Jun, 2016",2646,"199,39€",83.0,1,"33,90€",Strategy,https://store.steampowered.com/app/433091/XCOM_2_Shens_Last_Gift/?snr=1_7_7_240_150_10,Strategy
886,The House of Da Vinci 2,"Win, Mac",1,1347.0,1347,92,Very Positive,"28 May, 2020",1218,"19,99€",0.0,0,"19,99€",Adventure,https://store.steampowered.com/app/1259840/The_House_of_Da_Vinci_2/?snr=1_7_7_240_150_10,"Adventure, Indie, Strategy"
887,Stardeus,"Win, Mac, Linux",1,844.0,844,89,Very Positive,"12 Oct, 2022",351,"29,99€",0.0,0,"29,99€",Early Access,https://store.steampowered.com/app/1380910/Stardeus/?snr=1_7_7_240_150_10,"Early Access, Base Building, Colony Sim"
888,Planescape: Torment: Enhanced Edition Official Soundtrack,Music,0,19.0,0,0,,"11 Apr, 2017",2361,"9,75€",0.0,0,"9,75€",Strategy,https://store.steampowered.com/app/613230/Planescape_Torment_Enhanced_Edition_Official_Soundtrack/?snr=1_7_7_240_150_10,"Strategy, Adventure, RPG"
889,NIMBY Rails,Win,0,1408.0,1408,90,Very Positive,"26 Jan, 2021",975,"18,49€",0.0,0,"18,49€",Early Access,https://store.steampowered.com/app/1134710/NIMBY_Rails/?snr=1_7_7_240_150_10,"Early Access, Transportation, Simulation"
890,The Jackbox Party Pack 6,"Win, Mac, Linux",1,1987.0,1987,95,Overwhelmingly Positive,"16 Oct, 2019",1443,"29,99€",0.0,0,"29,99€",Trivia,https://store.steampowered.com/app/1005300/The_Jackbox_Party_Pack_6/?snr=1_7_7_240_150_10,"Trivia, Casual, Multiplayer"
891,Galactic Civilizations III: Retribution Expansion,Win,0,55.0,0,0,,"21 Feb, 2019",1680,"14,79€",0.0,0,"14,79€",Strategy,https://store.steampowered.com/app/976210/Galactic_Civilizations_III_Retribution_Expansion/?snr=1_7_7_240_150_10,"Strategy, Indie"
892,Galactic Civilizations III: Intrigue Expansion,Win,0,42.0,0,0,,"11 Apr, 2018",1996,"14,79€",0.0,0,"14,79€",Strategy,https://store.steampowered.com/app/747060/Galactic_Civilizations_III_Intrigue_Expansion/?snr=1_7_7_240_150_10,"Strategy, Indie, 4X"
893,Among Us VR,Win,0,1978.0,1978,77,Mostly Positive,"10 Nov, 2022",322,"8,19€",0.0,0,"8,19€",VR,https://store.steampowered.com/app/1849900/Among_Us_VR/?snr=1_7_7_240_150_10,"VR, Multiplayer, Horror"
894,Worms Clan Wars,"Win, Mac, Linux",1,1615.0,1615,78,Mostly Positive,"15 Aug, 2013",3696,"24,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/233840/Worms_Clan_Wars/?snr=1_7_7_240_150_10,"Strategy, Multiplayer, Turn-Based"
895,The Dungeon Beneath,"Win, Mac",1,534.0,534,87,Very Positive,"23 Oct, 2020",1070,"12,49€",0.0,0,"12,49€",Turn-Based Tactics,https://store.steampowered.com/app/1359120/The_Dungeon_Beneath/?snr=1_7_7_240_150_10,"Turn-Based Tactics, Auto Battler, Roguelite"
896,DEFCON,"Win, Mac, Linux",1,2968.0,2968,86,Very Positive,"29 Sep, 2006",6208,"9,75€",0.0,0,"9,75€",Cold War,https://store.steampowered.com/app/1520/DEFCON/?snr=1_7_7_240_150_10,"Cold War, Tactical RPG, Wargame"
897,Bloons Monkey City,"Win, Mac",1,4973.0,4973,91,Very Positive,"10 Apr, 2020",1266,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/1252780/Bloons_Monkey_City/?snr=1_7_7_240_150_10,"Free to Play, Strategy, Action"
898,No Umbrellas Allowed,"Win, Mac",1,1070.0,1070,79,Mostly Positive,"3 Sep, 2021",755,"16,79€",100.0,1,0,Simulation,https://store.steampowered.com/app/1301390/No_Umbrellas_Allowed/?snr=1_7_7_240_150_10,"Simulation, Indie, Strategy"
899,Scythe: Digital Edition,"Win, Mac",1,2702.0,2702,90,Very Positive,"5 Sep, 2018",1849,"19,99€",0.0,0,"19,99€",Board Game,https://store.steampowered.com/app/718560/Scythe_Digital_Edition/?snr=1_7_7_240_150_10,"Board Game, Strategy, Turn-Based"
900,Day of Defeat,"Win, Mac, Linux",1,3761.0,3761,87,Very Positive,"1 May, 2003",7455,"4,99€",0.0,0,"4,99€",FPS,https://store.steampowered.com/app/30/Day_of_Defeat/?snr=1_7_7_240_150_10,"FPS, World War II, Multiplayer"
901,Poker Club,Win,0,335.0,0,0,,"20 Nov, 2020",1042,"19,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/1174460/Poker_Club/?snr=1_7_7_240_150_10,"Simulation, Sports, Indie"
902,Hearts of Iron IV: Axis Armor Pack,"Win, Mac, Linux",1,328.0,0,0,,"4 Jun, 2019",1577,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/1086480/Hearts_of_Iron_IV_Axis_Armor_Pack/?snr=1_7_7_240_150_10,"Strategy, Simulation"
903,SpellForce: Conquest of Eo,Win,0,1274.0,1274,80,Very Positive,"3 Feb, 2023",237,"29,99€",0.0,0,"29,99€",Strategy,https://store.steampowered.com/app/1581770/SpellForce_Conquest_of_Eo/?snr=1_7_7_240_150_10,"Strategy, RPG, Turn-Based Strategy"
904,Blood Bowl 2,"Win, Mac",1,6586.0,6586,78,Mostly Positive,"22 Sep, 2015",2928,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/236690/Blood_Bowl_2/?snr=1_7_7_240_150_10,"Strategy, Multiplayer, Fantasy"
905,Definitely Not Fried Chicken,Win,0,724.0,724,78,Mostly Positive,"18 Jan, 2023",253,"20,99€",0.0,0,"20,99€",Early Access,https://store.steampowered.com/app/1036240/Definitely_Not_Fried_Chicken/?snr=1_7_7_240_150_10,"Early Access, Management, Simulation"
906,Victoria 3: Sphere of Influence,"Win, Mac, Linux",1,4.0,0,0,,"15 Mar, 2024",-168,"54,96€",28.0,1,"39,57€",Simulation,https://store.steampowered.com/app/2411231/Victoria_3_Sphere_of_Influence/?snr=1_7_7_240_150_10,"Simulation, Strategy"
907,Stronghold Crusader HD,Win,0,13489.0,13489,97,Overwhelmingly Positive,"21 Oct, 2013",3629,"7,99€",0.0,0,"7,99€",Real Time Tactics,https://store.steampowered.com/app/40970/Stronghold_Crusader_HD/?snr=1_7_7_240_150_10,"Real Time Tactics, City Builder, Colony Sim"
908,Shotgun King: The Final Checkmate,Win,0,3747.0,3747,93,Very Positive,"12 May, 2022",504,"9,99€",0.0,0,"9,99€",Chess,https://store.steampowered.com/app/1972440/Shotgun_King_The_Final_Checkmate/?snr=1_7_7_240_150_10,"Chess, Turn-Based Strategy, Strategy"
909,Ironsight,Win,0,20676.0,20676,72,Mostly Positive,"19 Jun, 2019",1562,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/783770/Ironsight/?snr=1_7_7_240_150_10,"Free to Play, Action, FPS"
910,Plague Inc: The Cure,"Win, Mac, Linux",1,44.0,44,84,Positive,"28 Jan, 2021",973,"5,89€",0.0,0,"5,89€",Simulation,https://store.steampowered.com/app/1472780/Plague_Inc_The_Cure/?snr=1_7_7_240_150_10,"Simulation, Strategy, Casual"
911,Plan B: Terraform,Win,0,1424.0,1424,91,Very Positive,"15 Feb, 2023",225,"9,99€",0.0,0,"9,99€",Early Access,https://store.steampowered.com/app/1894430/Plan_B_Terraform/?snr=1_7_7_240_150_10,"Early Access, Resource Management, Base Building"
912,Cardboard Town,"Win, Mac",1,682.0,682,82,Very Positive,"18 Aug, 2023",41,"19,50€",0.0,0,"19,50€",City Builder,https://store.steampowered.com/app/2198070/Cardboard_Town/?snr=1_7_7_240_150_10,"City Builder, Card Game, Roguelite"
913,Monochrome Mobius: Rights and Wrongs Forgotten,Win,0,537.0,537,80,Very Positive,"16 Nov, 2022",316,"49,99€",100.0,1,0,JRPG,https://store.steampowered.com/app/1962430/Monochrome_Mobius_Rights_and_Wrongs_Forgotten/?snr=1_7_7_240_150_10,"JRPG, Fantasy, Lore-Rich"
914,Prison Life 2,Win,0,55.0,55,80,Very Positive,"30 Mar, 2023",182,"4,99€",100.0,1,0,First-Person,https://store.steampowered.com/app/2125160/Prison_Life_2/?snr=1_7_7_240_150_10,"First-Person, Detective, Social Deduction"
915,Supreme Commander: Forged Alliance,Win,0,8091.0,8091,96,Overwhelmingly Positive,"28 Sep, 2011",4383,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/9420/Supreme_Commander_Forged_Alliance/?snr=1_7_7_240_150_10,"Strategy, RTS, Sci-fi"
916,Talisman - The Frostmarch Expansion,"Win, Mac",1,16.0,16,81,Positive,"12 Jun, 2014",3395,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/267772/Talisman__The_Frostmarch_Expansion/?snr=1_7_7_240_150_10,"Strategy, RPG, Indie"
917,Clue/Cluedo,Win,0,14.0,14,92,Positive,"23 Aug, 2023",36,"14,79€",0.0,0,"14,79€",Casual,https://store.steampowered.com/app/2506480/ClueCluedo/?snr=1_7_7_240_150_10,"Casual, Simulation, Strategy"
918,Ultimate General: Civil War,"Win, Mac",1,6892.0,6892,89,Very Positive,"14 Jul, 2017",2267,"28,99€",0.0,0,"28,99€",Strategy,https://store.steampowered.com/app/502520/Ultimate_General_Civil_War/?snr=1_7_7_240_150_10,"Strategy, War, Historical"
919,Cold Waters,"Win, Mac",1,3911.0,3911,86,Very Positive,"5 Jun, 2017",2306,"36,99€",0.0,0,"36,99€",Simulation,https://store.steampowered.com/app/541210/Cold_Waters/?snr=1_7_7_240_150_10,"Simulation, Naval Combat, Submarine"
920,Rise of Nations: Extended Edition,Win,0,10738.0,10738,94,Very Positive,"12 Jun, 2014",3395,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/287450/Rise_of_Nations_Extended_Edition/?snr=1_7_7_240_150_10,"Strategy, RTS, Classic"
921,ISLANDERS,"Win, Mac",1,14413.0,14413,94,Very Positive,"4 Apr, 2019",1638,"4,99€",0.0,0,"4,99€",Relaxing,https://store.steampowered.com/app/1046030/ISLANDERS/?snr=1_7_7_240_150_10,"Relaxing, City Builder, Strategy"
922,Rail Route,"Win, Mac, Linux",1,1170.0,1170,91,Very Positive,"23 Jun, 2021",827,"19,50€",0.0,0,"19,50€",Minimalist,https://store.steampowered.com/app/1124180/Rail_Route/?snr=1_7_7_240_150_10,"Minimalist, Automation, Real Time Tactics"
923,Farm Manager 2021,Win,0,1772.0,1772,79,Mostly Positive,"6 May, 2021",875,"26,78€",100.0,1,0,Simulation,https://store.steampowered.com/app/1123830/Farm_Manager_2021/?snr=1_7_7_240_150_10,"Simulation, Strategy, Management"
924,Surviving the Aftermath,Win,0,2547.0,2547,72,Mostly Positive,"16 Nov, 2021",681,"29,99€",0.0,0,"29,99€",Strategy,https://store.steampowered.com/app/684450/Surviving_the_Aftermath/?snr=1_7_7_240_150_10,"Strategy, Simulation, City Builder"
925,Sapiens,"Win, Mac",1,1531.0,1531,85,Very Positive,"26 Jul, 2022",429,"20,99€",0.0,0,"20,99€",Early Access,https://store.steampowered.com/app/1060230/Sapiens/?snr=1_7_7_240_150_10,"Early Access, Colony Sim, City Builder"
926,SAELIG,"Win, Mac, Linux",1,605.0,605,81,Very Positive,"30 Jun, 2017",2281,"12,49€",100.0,1,0,Simulation,https://store.steampowered.com/app/612720/SAELIG/?snr=1_7_7_240_150_10,"Simulation, RPG, Strategy"
927,Partisans 1941,Win,0,5947.0,5947,83,Very Positive,"14 Oct, 2020",1079,"29,99€",0.0,0,"29,99€",Strategy,https://store.steampowered.com/app/1227530/Partisans_1941/?snr=1_7_7_240_150_10,"Strategy, Real Time Tactics, World War II"
928,RollerCoaster Tycoon® Classic,"Win, Mac",1,1622.0,1622,89,Very Positive,"28 Sep, 2017",2191,"19,99€",0.0,0,"19,99€",Management,https://store.steampowered.com/app/683900/RollerCoaster_Tycoon_Classic/?snr=1_7_7_240_150_10,"Management, Simulation, Strategy"
929,Hearts of Iron IV: Radio Pack,"Win, Mac, Linux",1,161.0,161,74,Mostly Positive,"4 Jun, 2019",1577,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/1086481/Hearts_of_Iron_IV_Radio_Pack/?snr=1_7_7_240_150_10,"Strategy, Simulation"
930,Cities: Skylines - Content Creator Pack: Brooklyn & Queens,"Win, Mac, Linux",1,14.0,14,92,Positive,"23 May, 2023",128,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/2313320/Cities_Skylines__Content_Creator_Pack_Brooklyn__Queens/?snr=1_7_7_240_150_10,"Strategy, Simulation"
931,Stellaris: Plantoids Species Pack,"Win, Mac, Linux",1,464.0,0,0,,"4 Aug, 2016",2611,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/498870/Stellaris_Plantoids_Species_Pack/?snr=1_7_7_240_150_10,"Strategy, Simulation, Sci-fi"
932,KARDS - The WW2 Card Game,Win,0,27773.0,27773,79,Mostly Positive,"15 Apr, 2020",1261,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/544810/KARDS__The_WW2_Card_Game/?snr=1_7_7_240_150_10,"Free to Play, Card Game, World War II"
933,XCOM: Enemy Unknown - Slingshot Pack,"Win, Linux",1,260.0,260,83,Very Positive,"4 Dec, 2012",3950,"6,49€",0.0,0,"6,49€",Strategy,https://store.steampowered.com/app/209812/XCOM_Enemy_Unknown__Slingshot_Pack/?snr=1_7_7_240_150_10,"Strategy, Turn-Based Strategy, Sci-fi"
934,Carcassonne - Inns & Cathedrals,Win,0,13.0,13,76,Mostly Positive,"5 Apr, 2018",2002,"3,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/622030/Carcassonne__Inns__Cathedrals/?snr=1_7_7_240_150_10,"Strategy, Casual"
935,Hot Springs Story,Win,0,169.0,169,90,Very Positive,"27 Mar, 2022",550,"32,96€",81.0,1,"6,26€",Simulation,https://store.steampowered.com/app/1823710/Hot_Springs_Story/?snr=1_7_7_240_150_10,"Simulation, Casual, Pixel Graphics"
936,XXX_CYBERRAT_XXX,Win,0,91.0,91,96,Very Positive,"20 Feb, 2023",220,"5,89€",100.0,1,0,Horror,https://store.steampowered.com/app/2132430/XXX_CYBERRAT_XXX/?snr=1_7_7_240_150_10,"Horror, Hacking, Psychological"
937,Sid Meier's Civilization® VI: Nubia Civilization & Scenario Pack,"Win, Mac, Linux",1,338.0,0,0,,"27 Jul, 2017",2254,"167,91€",53.0,1,"78,92€",Strategy,https://store.steampowered.com/app/645400/Sid_Meiers_Civilization_VI_Nubia_Civilization__Scenario_Pack/?snr=1_7_7_240_150_10,Strategy
938,Defense Grid: The Awakening,Win,0,3984.0,3984,96,Overwhelmingly Positive,"8 Dec, 2008",5407,"7,99€",0.0,0,"7,99€",Tower Defense,https://store.steampowered.com/app/18500/Defense_Grid_The_Awakening/?snr=1_7_7_240_150_10,"Tower Defense, Strategy, Sci-fi"
939,Homeseek,Win,0,115.0,0,0,,"20 Jul, 2023",70,"24,50€",0.0,0,"24,50€",City Builder,https://store.steampowered.com/app/2093000/Homeseek/?snr=1_7_7_240_150_10,"City Builder, Colony Sim, Post-apocalyptic"
940,Space Engineers - Heavy Industry,Win,0,146.0,146,71,Mostly Positive,"28 Jul, 2021",792,"3,99€",0.0,0,"3,99€",Simulation,https://store.steampowered.com/app/1676100/Space_Engineers__Heavy_Industry/?snr=1_7_7_240_150_10,"Simulation, Strategy, Action"
941,Battle Brothers - Beasts & Exploration,Win,0,340.0,340,85,Very Positive,"29 Nov, 2018",1764,"9,99€",0.0,0,"9,99€",Indie,https://store.steampowered.com/app/961930/Battle_Brothers__Beasts__Exploration/?snr=1_7_7_240_150_10,"Indie, Strategy, RPG"
942,Crimson Tactics: The Rise of The White Banner,Win,0,108.0,0,0,,"5 Sep, 2023",23,"29,99€",0.0,0,"29,99€",RPG,https://store.steampowered.com/app/1480810/Crimson_Tactics_The_Rise_of_The_White_Banner/?snr=1_7_7_240_150_10,"RPG, Strategy, Strategy RPG"
943,Cities: Skylines - Content Creator Pack: Modern City Center,"Win, Mac, Linux",1,175.0,0,0,,"7 Nov, 2019",1421,"4,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/1148020/Cities_Skylines__Content_Creator_Pack_Modern_City_Center/?snr=1_7_7_240_150_10,"Simulation, Strategy, City Builder"
944,Hearts of Iron IV: Allied Armor Pack,"Win, Mac, Linux",1,251.0,0,0,,"4 Jun, 2020",1211,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/1317230/Hearts_of_Iron_IV_Allied_Armor_Pack/?snr=1_7_7_240_150_10,"Strategy, Simulation, Historical"
945,Age of Empires III: DE - The African Royals,Win,0,316.0,0,0,,"2 Aug, 2021",787,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1581451/Age_of_Empires_III_DE__The_African_Royals/?snr=1_7_7_240_150_10,"Strategy, RTS"
946,Sid Meier's Civilization® VI: Poland Civilization & Scenario Pack,"Win, Mac, Linux",1,833.0,0,0,,"20 Dec, 2016",2473,"167,91€",53.0,1,"78,92€",Strategy,https://store.steampowered.com/app/512033/Sid_Meiers_Civilization_VI_Poland_Civilization__Scenario_Pack/?snr=1_7_7_240_150_10,Strategy
947,Love Letter,"Win, Mac",1,181.0,181,89,Very Positive,"24 Oct, 2018",1800,"6,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/926520/Love_Letter/?snr=1_7_7_240_150_10,"Strategy, Card Game, Board Game"
948,Commandos: Behind Enemy Lines,Win,0,2846.0,2846,89,Very Positive,"15 Mar, 2007",6041,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/6800/Commandos_Behind_Enemy_Lines/?snr=1_7_7_240_150_10,"Strategy, Stealth, Tactical"
949,Poker Championship,"Win, Mac",1,1748.0,1748,81,Very Positive,"25 Sep, 2019",1464,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/1138190/Poker_Championship/?snr=1_7_7_240_150_10,"Free to Play, Massively Multiplayer, Indie"
950,Kingdom Two Crowns: Norse Lands,"Win, Mac, Linux",1,360.0,360,77,Mostly Positive,"15 Nov, 2021",682,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/1708680/Kingdom_Two_Crowns_Norse_Lands/?snr=1_7_7_240_150_10,"Strategy, Adventure, Indie"
951,URBO,Win,0,99.0,99,96,Very Positive,"13 Sep, 2023",15,"5,89€",0.0,0,"5,89€",Puzzle,https://store.steampowered.com/app/2141770/URBO/?snr=1_7_7_240_150_10,"Puzzle, City Builder, Strategy"
952,Anno 1800™ - Season 1 Pass,Win,0,77.0,0,0,,"16 Apr, 2019",1626,"24,99€",0.0,0,"24,99€",Simulation,https://store.steampowered.com/app/1066850/Anno_1800__Season_1_Pass/?snr=1_7_7_240_150_10,"Simulation, Strategy"
953,"Star Wars: Battlefront 2 (Classic, 2005)",Win,0,42930.0,42930,94,Very Positive,"8 Jul, 2009",5195,"9,75€",0.0,0,"9,75€",Action,https://store.steampowered.com/app/6060/Star_Wars_Battlefront_2_Classic_2005/?snr=1_7_7_240_150_10,"Action, Multiplayer, Shooter"
954,Sid Meier's Civilization®: Beyond Earth™,"Win, Mac, Linux",1,13086.0,0,0,,"23 Oct, 2014",3262,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/65980/Sid_Meiers_Civilization_Beyond_Earth/?snr=1_7_7_240_150_10,"Strategy, Turn-Based Strategy, Sci-fi"
955,Supreme Commander 2,Win,0,7295.0,7295,87,Very Positive,"1 Mar, 2010",4959,"12,99€",0.0,0,"12,99€",Strategy,https://store.steampowered.com/app/40100/Supreme_Commander_2/?snr=1_7_7_240_150_10,"Strategy, RTS, Sci-fi"
956,Phantom Brigade,Win,0,2330.0,2330,74,Mostly Positive,"28 Feb, 2023",212,"28,99€",0.0,0,"28,99€",Strategy,https://store.steampowered.com/app/553540/Phantom_Brigade/?snr=1_7_7_240_150_10,"Strategy, Mechs, Turn-Based Tactics"
957,Cities: Skylines - Content Creator Pack: Railroads of Japan,"Win, Mac, Linux",1,27.0,27,70,Mostly Positive,"23 May, 2023",128,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/2313321/Cities_Skylines__Content_Creator_Pack_Railroads_of_Japan/?snr=1_7_7_240_150_10,"Strategy, Simulation"
958,Jurassic World Evolution 2: Deluxe Upgrade Pack,Win,0,177.0,177,83,Very Positive,"9 Nov, 2021",688,"17,99€",0.0,0,"17,99€",Simulation,https://store.steampowered.com/app/1336321/Jurassic_World_Evolution_2_Deluxe_Upgrade_Pack/?snr=1_7_7_240_150_10,"Simulation, Strategy, Building"
959,Land Above Sea Below,Win,0,42.0,42,90,Positive,"13 Sep, 2023",15,"7,79€",0.0,0,"7,79€",City Builder,https://store.steampowered.com/app/1922020/Land_Above_Sea_Below/?snr=1_7_7_240_150_10,"City Builder, Logic, Strategy"
960,Fuga: Melodies of Steel,Win,0,797.0,797,92,Very Positive,"28 Jul, 2021",792,"39,99€",0.0,0,"39,99€",RPG,https://store.steampowered.com/app/1357860/Fuga_Melodies_of_Steel/?snr=1_7_7_240_150_10,"RPG, Strategy, JRPG"
961,LEGO® Star Wars™ III - The Clone Wars™,Win,0,5703.0,5703,94,Very Positive,"22 Mar, 2011",4573,"19,50€",0.0,0,"19,50€",LEGO,https://store.steampowered.com/app/32510/LEGO_Star_Wars_III__The_Clone_Wars/?snr=1_7_7_240_150_11,"LEGO, Action, Adventure"
962,Rising Storm 2: Vietnam - Pulling Rank Cosmetic DLC,Win,0,99.0,99,92,Very Positive,"27 Nov, 2017",2131,"6,59€",0.0,0,"6,59€",Action,https://store.steampowered.com/app/737270/Rising_Storm_2_Vietnam__Pulling_Rank_Cosmetic_DLC/?snr=1_7_7_240_150_11,"Action, Gore, Violent"
963,Pictopix,"Win, Mac, Linux",1,1025.0,1025,96,Overwhelmingly Positive,"5 Jan, 2017",2457,"6,99€",100.0,1,0,Puzzle,https://store.steampowered.com/app/568320/Pictopix/?snr=1_7_7_240_150_11,"Puzzle, Indie, Casual"
964,Unity of Command II,"Win, Mac",1,1503.0,1503,81,Very Positive,"12 Nov, 2019",1416,"29,99€",0.0,0,"29,99€",Strategy,https://store.steampowered.com/app/809230/Unity_of_Command_II/?snr=1_7_7_240_150_11,"Strategy, World War II, Simulation"
965,Solasta: Crown of the Magister - Inner Strength,"Win, Mac",1,58.0,58,74,Mostly Positive,"14 Nov, 2022",318,"7,99€",0.0,0,"7,99€",Adventure,https://store.steampowered.com/app/2100430/Solasta_Crown_of_the_Magister__Inner_Strength/?snr=1_7_7_240_150_11,"Adventure, RPG, Indie"
966,Hearts of Iron IV: Eastern Front Planes Pack,"Win, Mac, Linux",1,216.0,0,0,,"3 Jun, 2021",847,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/1579991/Hearts_of_Iron_IV_Eastern_Front_Planes_Pack/?snr=1_7_7_240_150_11,"Strategy, Simulation, Action"
967,Expansion - Europa Universalis IV: Emperor,"Win, Mac, Linux",1,789.0,0,0,,"9 Jun, 2020",1206,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/1259360/Expansion__Europa_Universalis_IV_Emperor/?snr=1_7_7_240_150_11,"Strategy, Simulation, Grand Strategy"
968,Helldorado,Win,0,113.0,113,74,Mostly Positive,"30 Apr, 2009",5264,"9,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/18470/Helldorado/?snr=1_7_7_240_150_11,"Strategy, Western, Action"
969,ENDLESS™ Legend - Inferno,"Win, Mac",1,74.0,74,71,Mostly Positive,"2 Aug, 2018",1883,"12,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/854750/ENDLESS_Legend__Inferno/?snr=1_7_7_240_150_11,"Strategy, RPG, 4X"
970,Peggle Deluxe,"Win, Mac",1,5397.0,5397,97,Overwhelmingly Positive,"6 Mar, 2007",6050,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/3480/Peggle_Deluxe/?snr=1_7_7_240_150_11,"Casual, Puzzle, Arcade"
971,Chess Ultra,Win,0,1439.0,1439,76,Mostly Positive,"21 Jun, 2017",2290,"12,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/518060/Chess_Ultra/?snr=1_7_7_240_150_11,"Strategy, Indie, Chess"
972,"Warhammer 40,000: Gladius - Adepta Sororitas","Win, Linux",1,65.0,65,95,Very Positive,"13 Dec, 2022",289,"14,79€",0.0,0,"14,79€",Strategy,https://store.steampowered.com/app/2130960/Warhammer_40000_Gladius__Adepta_Sororitas/?snr=1_7_7_240_150_11,Strategy
973,CHANGE: A Homeless Survival Experience,"Win, Mac, Linux",1,1957.0,1957,92,Very Positive,"1 May, 2020",1245,"15,99€",0.0,0,"15,99€",Choose Your Own Adventure,https://store.steampowered.com/app/926140/CHANGE_A_Homeless_Survival_Experience/?snr=1_7_7_240_150_11,"Choose Your Own Adventure, Time Management, Life Sim"
974,Legend of Keepers: Career of a Dungeon Manager,"Win, Mac, Linux",1,3495.0,3495,80,Very Positive,"29 Apr, 2021",882,"17,99€",0.0,0,"17,99€",Turn-Based Combat,https://store.steampowered.com/app/978520/Legend_of_Keepers_Career_of_a_Dungeon_Manager/?snr=1_7_7_240_150_11,"Turn-Based Combat, Replay Value, Dungeon Crawler"
975,Stellaris: Leviathans Story Pack,"Win, Mac, Linux",1,547.0,547,74,Mostly Positive,"20 Oct, 2016",2534,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/518910/Stellaris_Leviathans_Story_Pack/?snr=1_7_7_240_150_11,"Strategy, Simulation, 4X"
976,Call to Arms - Deluxe Edition upgrade,Win,0,107.0,107,74,Mostly Positive,"30 Jul, 2015",2982,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/374390/Call_to_Arms__Deluxe_Edition_upgrade/?snr=1_7_7_240_150_11,"Strategy, Simulation, Action"
977,Hearts of Iron IV: Eastern Front Music Pack,"Win, Mac, Linux",1,147.0,147,82,Very Positive,"3 Jun, 2021",847,"4,99€",0.0,0,"4,99€",Action,https://store.steampowered.com/app/1579992/Hearts_of_Iron_IV_Eastern_Front_Music_Pack/?snr=1_7_7_240_150_11,"Action, Grand Strategy, RTS"
978,Demeo,Win,0,1260.0,1260,91,Very Positive,"6 May, 2021",875,"38,99€",0.0,0,"38,99€",Turn-Based Tactics,https://store.steampowered.com/app/1484280/Demeo/?snr=1_7_7_240_150_11,"Turn-Based Tactics, Dungeon Crawler, Roguelite"
979,Desperados 2: Cooper's Revenge,Win,0,193.0,0,0,,"12 Mar, 2008",5678,"9,99€",100.0,1,0,Action,https://store.steampowered.com/app/9710/Desperados_2_Coopers_Revenge/?snr=1_7_7_240_150_11,"Action, Western, Strategy"
980,Rusted Warfare - RTS,"Win, Mac, Linux",1,3553.0,3553,97,Overwhelmingly Positive,"14 Jul, 2017",2267,"4,99€",0.0,0,"4,99€",RTS,https://store.steampowered.com/app/647960/Rusted_Warfare__RTS/?snr=1_7_7_240_150_11,"RTS, Strategy, Base Building"
981,Forts - High Seas,Win,0,118.0,118,79,Mostly Positive,"25 Mar, 2022",552,"8,19€",0.0,0,"8,19€",Strategy,https://store.steampowered.com/app/1811550/Forts__High_Seas/?snr=1_7_7_240_150_11,"Strategy, Action, Moddable"
982,Atrio: The Dark Wild,Win,0,415.0,415,82,Very Positive,"10 Jan, 2023",261,"16,79€",0.0,0,"16,79€",Survival,https://store.steampowered.com/app/1125390/Atrio_The_Dark_Wild/?snr=1_7_7_240_150_11,"Survival, Automation, Open World Survival Craft"
