,Title,Platforms,Multiplatform,Reviews,Players,Positives,Review_summary,Released,Day_since_release,Price,Discount,On_sale,Final_price,Main_tag,Url,All_tags
525,Expansion - Hearts of Iron IV: Waking the Tiger,"Win, Mac, Linux",1,1695.0,1695,78,Mostly Positive,"8 Mar, 2018",2030,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/702350/Expansion__Hearts_of_Iron_IV_Waking_the_Tiger/?snr=1_7_7_240_150_6,"Strategy, Simulation, World War II"
526,Monster Train,Win,0,16546.0,16546,96,Overwhelmingly Positive,"21 May, 2020",1225,"24,50€",0.0,0,"24,50€",Card Battler,https://store.steampowered.com/app/1102190/Monster_Train/?snr=1_7_7_240_150_6,"Card Battler, Roguelite, Card Game"
527,Death and Taxes,"Win, Mac, Linux",1,4167.0,4167,88,Very Positive,"20 Feb, 2020",1316,"11,99€",0.0,0,"11,99€",Simulation,https://store.steampowered.com/app/1166290/Death_and_Taxes/?snr=1_7_7_240_150_6,"Simulation, Story Rich, Point & Click"
528,Library Of Ruina,Win,0,20575.0,20575,92,Very Positive,"10 Aug, 2021",779,"24,99€",0.0,0,"24,99€",Story Rich,https://store.steampowered.com/app/1256670/Library_Of_Ruina/?snr=1_7_7_240_150_6,"Story Rich, Strategy, Card Game"
529,Hush Hush - Only Your Love Can Save Them,"Win, Mac, Linux",1,1009.0,1009,94,Very Positive,"20 Apr, 2023",161,"16,79€",0.0,0,"16,79€",Sexual Content,https://store.steampowered.com/app/782250/Hush_Hush__Only_Your_Love_Can_Save_Them/?snr=1_7_7_240_150_6,"Sexual Content, Nudity, Dating Sim"
530,Wasteland 3,"Win, Mac, Linux",1,14233.0,14233,84,Very Positive,"27 Aug, 2020",1127,"33,99€",0.0,0,"33,99€",RPG,https://store.steampowered.com/app/719040/Wasteland_3/?snr=1_7_7_240_150_6,"RPG, Turn-Based Combat, Post-apocalyptic"
531,The Walking Dead: Saints & Sinners,Win,0,6602.0,6602,88,Very Positive,"23 Jan, 2020",1344,"33,99€",0.0,0,"33,99€",VR,https://store.steampowered.com/app/916840/The_Walking_Dead_Saints__Sinners/?snr=1_7_7_240_150_6,"VR, Zombies, Action"
532,Town of Salem,"Win, Mac",1,30947.0,30947,89,Very Positive,"15 Dec, 2014",3209,"4,99€",0.0,0,"4,99€",Multiplayer,https://store.steampowered.com/app/334230/Town_of_Salem/?snr=1_7_7_240_150_6,"Multiplayer, Strategy, Mystery"
533,Mindustry,"Win, Mac, Linux",1,13710.0,13710,95,Overwhelmingly Positive,"26 Sep, 2019",1463,"9,99€",0.0,0,"9,99€",Base Building,https://store.steampowered.com/app/1127400/Mindustry/?snr=1_7_7_240_150_6,"Base Building, Tower Defense, Resource Management"
534,EVE Online,"Win, Mac",1,31893.0,31893,73,Mostly Positive,"15 Dec, 2010",4670,0,100.0,1,0,Space,https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_240_150_6,"Space, Free to Play, RPG"
535,Tomoyo After ~It's a Wonderful Life~ English Edition,Win,0,523.0,523,91,Very Positive,"1 Jul, 2016",2645,"19,99€",100.0,1,0,Visual Novel,https://store.steampowered.com/app/462990/Tomoyo_After_Its_a_Wonderful_Life_English_Edition/?snr=1_7_7_240_150_6,"Visual Novel, Anime, Adventure"
536,Solasta: Crown of the Magister - Palace of Ice,"Win, Mac",1,164.0,164,70,Mostly Positive,"25 May, 2023",126,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/2100431/Solasta_Crown_of_the_Magister__Palace_of_Ice/?snr=1_7_7_240_150_6,"Strategy, Adventure, RPG"
537,Hearts of Iron IV: Axis Armor Pack,"Win, Mac, Linux",1,328.0,0,0,,"4 Jun, 2019",1577,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/1086480/Hearts_of_Iron_IV_Axis_Armor_Pack/?snr=1_7_7_240_150_6,"Strategy, Simulation"
538,Hearts of Iron IV: Radio Pack,"Win, Mac, Linux",1,162.0,162,74,Mostly Positive,"4 Jun, 2019",1577,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/1086481/Hearts_of_Iron_IV_Radio_Pack/?snr=1_7_7_240_150_6,"Strategy, Simulation"
539,Might & Magic® Heroes® VII,Win,0,5596.0,0,0,,"29 Sep, 2015",2921,"49,98€",20.0,1,"39,98€",Strategy,https://store.steampowered.com/app/321960/Might__Magic_Heroes_VII/?snr=1_7_7_240_150_6,"Strategy, Turn-Based Strategy, RPG"
540,HighFleet,Win,0,5128.0,5128,88,Very Positive,"27 Jul, 2021",793,"24,99€",0.0,0,"24,99€",Singleplayer,https://store.steampowered.com/app/1434950/HighFleet/?snr=1_7_7_240_150_6,"Singleplayer, Indie, Strategy"
541,Jagged Alliance - Back in Action,"Win, Mac, Linux",1,933.0,933,71,Mostly Positive,"8 Feb, 2012",4250,"19,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/57740/Jagged_Alliance__Back_in_Action/?snr=1_7_7_240_150_6,"Strategy, RPG, Tactical"
542,Regiments,Win,0,1870.0,1870,87,Very Positive,"16 Aug, 2022",408,"24,99€",0.0,0,"24,99€",Strategy,https://store.steampowered.com/app/1109680/Regiments/?snr=1_7_7_240_150_6,"Strategy, Real Time Tactics, Wargame"
543,Total War: WARHAMMER II - The Warden & The Paunch,"Win, Mac, Linux",1,1410.0,0,0,,"21 May, 2020",1225,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1209120/Total_War_WARHAMMER_II__The_Warden__The_Paunch/?snr=1_7_7_240_150_6,"Strategy, Action, Violent"
544,L.A. Noire,Win,0,24907.0,24907,85,Very Positive,"8 Nov, 2011",4342,"19,99€",0.0,0,"19,99€",Detective,https://store.steampowered.com/app/110800/LA_Noire/?snr=1_7_7_240_150_6,"Detective, Crime, Open World"
545,Plants vs. Zombies: Battle for Neighborville™,Win,0,9728.0,9728,73,Mostly Positive,"4 Jun, 2020",1211,"39,99€",0.0,0,"39,99€",Third-Person Shooter,https://store.steampowered.com/app/1262240/Plants_vs_Zombies_Battle_for_Neighborville/?snr=1_7_7_240_150_6,"Third-Person Shooter, Zombies, Multiplayer"
546,Dominion,Win,0,998.0,998,88,Very Positive,"7 Oct, 2021",721,0,100.0,1,0,Deckbuilding,https://store.steampowered.com/app/1131620/Dominion/?snr=1_7_7_240_150_6,"Deckbuilding, Card Game, Medieval"
547,112 Operator,"Win, Mac",1,4048.0,4048,89,Very Positive,"23 Apr, 2020",1253,"20,99€",0.0,0,"20,99€",Simulation,https://store.steampowered.com/app/793460/112_Operator/?snr=1_7_7_240_150_6,"Simulation, Realistic, Casual"
548,The Tenants,Win,0,5499.0,5499,82,Very Positive,"20 Oct, 2022",343,"18,68€",0.0,0,"18,68€",Management,https://store.steampowered.com/app/1009560/The_Tenants/?snr=1_7_7_240_150_6,"Management, Design & Illustration, City Builder"
549,DNF Duel,Win,0,3415.0,0,0,,"27 Jun, 2022",458,"49,99€",0.0,0,"49,99€",2D Fighter,https://store.steampowered.com/app/1216060/DNF_Duel/?snr=1_7_7_240_150_6,"2D Fighter, Anime, Fighting"
550,XCOM: Enemy Within,"Win, Linux",1,1402.0,1402,90,Very Positive,"14 Nov, 2013",3605,"24,99€",0.0,0,"24,99€",Strategy,https://store.steampowered.com/app/225340/XCOM_Enemy_Within/?snr=1_7_7_240_150_6,"Strategy, Turn-Based Strategy, Tactical"
551,VEGA Conflict,"Win, Mac",1,4651.0,0,0,,"14 Dec, 2015",2845,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/339600/VEGA_Conflict/?snr=1_7_7_240_150_6,"Free to Play, Space, Strategy"
552,Age of Empires III: DE - The African Royals,Win,0,317.0,0,0,,"2 Aug, 2021",787,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1581451/Age_of_Empires_III_DE__The_African_Royals/?snr=1_7_7_240_150_6,"Strategy, RTS"
553,Space Engineers - Heavy Industry,Win,0,146.0,146,71,Mostly Positive,"28 Jul, 2021",792,"3,99€",0.0,0,"3,99€",Simulation,https://store.steampowered.com/app/1676100/Space_Engineers__Heavy_Industry/?snr=1_7_7_240_150_6,"Simulation, Strategy, Action"
554,Fantasy Grounds Unity,"Win, Mac, Linux",1,536.0,536,83,Very Positive,"5 Nov, 2020",1057,"33,99€",0.0,0,"33,99€",RPG,https://store.steampowered.com/app/1196310/Fantasy_Grounds_Unity/?snr=1_7_7_240_150_6,"RPG, Dungeons & Dragons, Software"
555,Sid Meier's Civilization® VI: Portugal Pack,"Win, Mac, Linux",1,120.0,0,0,,"25 Mar, 2021",917,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/1478300/Sid_Meiers_Civilization_VI_Portugal_Pack/?snr=1_7_7_240_150_6,Strategy
556,Shadow Tactics: Blades of the Shogun,"Win, Mac, Linux",1,27686.0,27686,96,Overwhelmingly Positive,"6 Dec, 2016",2487,"39,99€",0.0,0,"39,99€",Stealth,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_240_150_6,"Stealth, Strategy, Tactical"
557,Company of Heroes,Win,0,9364.0,9364,94,Very Positive,"11 Sep, 2006",6226,"12,99€",0.0,0,"12,99€",Strategy,https://store.steampowered.com/app/228200/Company_of_Heroes/?snr=1_7_7_240_150_6,"Strategy, World War II, RTS"
558,Rule the Waves 3,Win,0,360.0,360,92,Very Positive,"18 May, 2023",133,"38,99€",0.0,0,"38,99€",Wargame,https://store.steampowered.com/app/2008100/Rule_the_Waves_3/?snr=1_7_7_240_150_6,"Wargame, Simulation, Naval"
559,SPORE™ Creepy & Cute Parts Pack,Win,0,1614.0,1614,88,Very Positive,"19 Dec, 2008",5396,"19,99€",0.0,0,"19,99€",Simulation,https://store.steampowered.com/app/17440/SPORE_Creepy__Cute_Parts_Pack/?snr=1_7_7_240_150_6,"Simulation, Open World, God Game"
560,Swords & Souls: Neverseen,"Win, Mac",1,3783.0,3783,93,Very Positive,"22 Jul, 2019",1529,"14,79€",0.0,0,"14,79€",Indie,https://store.steampowered.com/app/679900/Swords__Souls_Neverseen/?snr=1_7_7_240_150_6,"Indie, RPG, Turn-Based Combat"
561,Watch_Dogs™,Win,0,33877.0,33877,75,Mostly Positive,"26 May, 2014",3412,"29,99€",0.0,0,"29,99€",Open World,https://store.steampowered.com/app/243470/Watch_Dogs/?snr=1_7_7_240_150_6,"Open World, Hacking, Action"
562,Sid Meier's Civilization® VI: Babylon Pack,"Win, Mac, Linux",1,120.0,0,0,,"19 Nov, 2020",1043,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/1388850/Sid_Meiers_Civilization_VI_Babylon_Pack/?snr=1_7_7_240_150_6,Strategy
563,Expansion - Hearts of Iron IV: Battle for the Bosporus,"Win, Mac, Linux",1,2398.0,0,0,,"15 Oct, 2020",1078,"9,99€",0.0,0,"9,99€",Simulation,https://store.steampowered.com/app/1348660/Expansion__Hearts_of_Iron_IV_Battle_for_the_Bosporus/?snr=1_7_7_240_150_6,"Simulation, Strategy, World War II"
564,Total War: WARHAMMER - Call of the Beastmen,"Win, Mac, Linux",1,1299.0,0,0,,"28 Jul, 2016",2618,"18,99€",0.0,0,"18,99€",Strategy,https://store.steampowered.com/app/404012/Total_War_WARHAMMER__Call_of_the_Beastmen/?snr=1_7_7_240_150_6,"Strategy, Action, Fantasy"
565,War of Rights,Win,0,8916.0,8916,87,Very Positive,"3 Dec, 2018",1760,"24,99€",0.0,0,"24,99€",Historical,https://store.steampowered.com/app/424030/War_of_Rights/?snr=1_7_7_240_150_6,"Historical, War, Multiplayer"
566,Affogato,Win,0,654.0,654,85,Very Positive,"17 Aug, 2023",42,"16,49€",100.0,1,0,JRPG,https://store.steampowered.com/app/1983970/Affogato/?snr=1_7_7_240_150_6,"JRPG, Anime, Female Protagonist"
567,Command & Conquer: Red Alert 3,Win,0,11472.0,11472,85,Very Positive,"8 Jan, 2009",5376,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/17480/Command__Conquer_Red_Alert_3/?snr=1_7_7_240_150_6,"Strategy, RTS, Base Building"
568,Cossacks 3,"Win, Linux",1,9249.0,9249,80,Very Positive,"20 Sep, 2016",2564,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/333420/Cossacks_3/?snr=1_7_7_240_150_6,"Strategy, RTS, Multiplayer"
569,X4: Kingdom End,"Win, Linux",1,303.0,303,75,Mostly Positive,"12 Apr, 2023",169,"14,99€",0.0,0,"14,99€",Action,https://store.steampowered.com/app/1990040/X4_Kingdom_End/?snr=1_7_7_240_150_6,"Action, Simulation, Space"
570,Deducto 2,Win,0,93.0,93,86,Very Positive,"16 Jun, 2023",104,"4,99€",0.0,0,"4,99€",Social Deduction,https://store.steampowered.com/app/2119590/Deducto_2/?snr=1_7_7_240_150_6,"Social Deduction, Multiplayer, Online Co-Op"
571,Zero Hour,Win,0,22692.0,22692,81,Very Positive,"12 Aug, 2020",1142,"9,99€",0.0,0,"9,99€",Tactical,https://store.steampowered.com/app/1359090/Zero_Hour/?snr=1_7_7_240_150_6,"Tactical, Shooter, FPS"
572,Star Trek: Infinite,"Win, Mac",1,,0,0,,"12 Oct, 2023",-13,"29,99€",0.0,0,"29,99€",Exploration,https://store.steampowered.com/app/1622900/Star_Trek_Infinite/?snr=1_7_7_240_150_6,"Exploration, Flight, Sandbox"
573,A Monster's Expedition,"Win, Mac, Linux",1,936.0,936,95,Overwhelmingly Positive,"10 Sep, 2020",1113,"24,50€",0.0,0,"24,50€",Puzzle,https://store.steampowered.com/app/1052990/A_Monsters_Expedition/?snr=1_7_7_240_150_6,"Puzzle, Open World, Adventure"
574,Jurassic World Evolution 2: Early Cretaceous Pack,Win,0,95.0,95,86,Very Positive,"9 Dec, 2021",658,"7,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/1336322/Jurassic_World_Evolution_2_Early_Cretaceous_Pack/?snr=1_7_7_240_150_6,"Simulation, Strategy, Action"
575,"Warhammer 40,000: Battlesector",Win,0,3225.0,3225,90,Very Positive,"22 Jul, 2021",798,"38,99€",0.0,0,"38,99€",Strategy,https://store.steampowered.com/app/1295500/Warhammer_40000_Battlesector/?snr=1_7_7_240_150_6,"Strategy, Warhammer 40K, Turn-Based Tactics"
576,Minion Masters,"Win, Mac",1,61331.0,61332,91,Very Positive,"24 May, 2019",1588,0,100.0,1,0,PvE,https://store.steampowered.com/app/489520/Minion_Masters/?snr=1_7_7_240_150_6,"PvE, Trading Card Game, Stylized"
577,FINAL FANTASY VII,Win,0,20792.0,20792,92,Very Positive,"4 Jul, 2013",3738,"12,99€",0.0,0,"12,99€",JRPG,https://store.steampowered.com/app/39140/FINAL_FANTASY_VII/?snr=1_7_7_240_150_6,"JRPG, RPG, Classic"
578,Victoria 3: Melodies for the Masses Music Pack,"Win, Mac, Linux",1,130.0,130,90,Very Positive,"13 Mar, 2023",199,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/2348450/Victoria_3_Melodies_for_the_Masses_Music_Pack/?snr=1_7_7_240_150_6,"Strategy, Simulation"
579,Space Engineers Deluxe,Win,0,209.0,209,83,Very Positive,"4 Jan, 2017",2458,"6,59€",0.0,0,"6,59€",Simulation,https://store.steampowered.com/app/573160/Space_Engineers_Deluxe/?snr=1_7_7_240_150_6,"Simulation, Indie, Strategy"
580,Stellaris: MegaCorp,"Win, Mac, Linux",1,1062.0,0,0,,"6 Dec, 2018",1757,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/944290/Stellaris_MegaCorp/?snr=1_7_7_240_150_6,"Strategy, Simulation, 4X"
581,Rising Front,"Win, Mac",1,1343.0,1343,90,Very Positive,"14 Jan, 2023",257,"14,79€",0.0,0,"14,79€",Early Access,https://store.steampowered.com/app/1560250/Rising_Front/?snr=1_7_7_240_150_6,"Early Access, World War I, Action"
582,Sid Meier's Civilization® VI: Ethiopia Pack,"Win, Mac, Linux",1,102.0,0,0,,"23 Jul, 2020",1162,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/1270540/Sid_Meiers_Civilization_VI_Ethiopia_Pack/?snr=1_7_7_240_150_6,Strategy
583,Besiege,"Win, Mac, Linux",1,41289.0,41289,95,Overwhelmingly Positive,"18 Feb, 2020",1318,"12,99€",0.0,0,"12,99€",Building,https://store.steampowered.com/app/346010/Besiege/?snr=1_7_7_240_150_6,"Building, Sandbox, Physics"
584,I'm on Observation Duty 4,"Win, Mac, Linux",1,563.0,563,97,Overwhelmingly Positive,"22 Dec, 2021",645,"4,99€",0.0,0,"4,99€",Psychological Horror,https://store.steampowered.com/app/1730360/Im_on_Observation_Duty_4/?snr=1_7_7_240_150_6,"Psychological Horror, Horror, Psychological"
585,Goose Goose Duck,"Win, Mac",1,52150.0,52148,87,Very Positive,"3 Oct, 2021",725,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/1568590/Goose_Goose_Duck/?snr=1_7_7_240_150_6,"Free to Play, Multiplayer, PvP"
586,At Dead Of Night,Win,0,1933.0,1933,93,Very Positive,"19 Nov, 2020",1043,"14,79€",0.0,0,"14,79€",Survival Horror,https://store.steampowered.com/app/1450830/At_Dead_Of_Night/?snr=1_7_7_240_150_6,"Survival Horror, Strategy, Horror"
587,Rogue Tower,Win,0,4637.0,4637,82,Very Positive,"28 Jan, 2022",608,"12,49€",0.0,0,"12,49€",Tower Defense,https://store.steampowered.com/app/1843760/Rogue_Tower/?snr=1_7_7_240_150_6,"Tower Defense, Strategy, Roguelike"
588,Dawn of Man,"Win, Mac",1,14863.0,14863,86,Very Positive,"1 Mar, 2019",1672,"20,99€",0.0,0,"20,99€",City Builder,https://store.steampowered.com/app/858810/Dawn_of_Man/?snr=1_7_7_240_150_6,"City Builder, Colony Sim, Strategy"
589,Cardfight!! Vanguard Dear Days,Win,0,780.0,780,85,Very Positive,"16 Nov, 2022",316,"58,99€",0.0,0,"58,99€",Trading Card Game,https://store.steampowered.com/app/1881420/Cardfight_Vanguard_Dear_Days/?snr=1_7_7_240_150_6,"Trading Card Game, Strategy, PvP"
590,Project Highrise,"Win, Mac",1,3266.0,3266,85,Very Positive,"8 Sep, 2016",2576,"19,50€",0.0,0,"19,50€",Simulation,https://store.steampowered.com/app/423580/Project_Highrise/?snr=1_7_7_240_150_6,"Simulation, Management, Strategy"
591,Five Nights at Freddy's 3,Win,0,7753.0,7753,89,Very Positive,"2 Mar, 2015",3132,"7,99€",0.0,0,"7,99€",Horror,https://store.steampowered.com/app/354140/Five_Nights_at_Freddys_3/?snr=1_7_7_240_150_7,"Horror, Singleplayer, Survival Horror"
592,Welcome to the Game II,"Win, Mac",1,2382.0,2382,86,Very Positive,"3 Apr, 2018",2004,"7,99€",0.0,0,"7,99€",Horror,https://store.steampowered.com/app/720250/Welcome_to_the_Game_II/?snr=1_7_7_240_150_7,"Horror, Hacking, Strategy"
593,A.V.A Global,Win,0,6826.0,0,0,,"23 Aug, 2022",401,0,100.0,1,0,FPS,https://store.steampowered.com/app/1473480/AVA_Global/?snr=1_7_7_240_150_7,"FPS, PvP, Competitive"
594,60 Parsecs!,"Win, Mac",1,2376.0,2376,89,Very Positive,"18 Sep, 2018",1836,"9,99€",100.0,1,0,Point & Click,https://store.steampowered.com/app/646270/60_Parsecs/?snr=1_7_7_240_150_7,"Point & Click, 2D, Adventure"
595,Lobotomy Corporation | Monster Management Simulation,Win,0,26482.0,26482,93,Very Positive,"9 Apr, 2018",1998,"22,99€",0.0,0,"22,99€",Management,https://store.steampowered.com/app/568220/Lobotomy_Corporation__Monster_Management_Simulation/?snr=1_7_7_240_150_7,"Management, Difficult, Simulation"
596,STAR WARS™: Squadrons,Win,0,21546.0,21546,70,Mostly Positive,"1 Oct, 2020",1092,"39,99€",0.0,0,"39,99€",Flight,https://store.steampowered.com/app/1222730/STAR_WARS_Squadrons/?snr=1_7_7_240_150_7,"Flight, Space, VR"
597,Cities: Skylines - Content Creator Pack: Skyscrapers,"Win, Mac, Linux",1,68.0,68,72,Mostly Positive,"15 Nov, 2022",317,"5,99€",0.0,0,"5,99€",Simulation,https://store.steampowered.com/app/2144481/Cities_Skylines__Content_Creator_Pack_Skyscrapers/?snr=1_7_7_240_150_7,"Simulation, Strategy"
598,Terraforming Mars - Prelude,"Win, Mac",1,59.0,59,77,Mostly Positive,"8 Dec, 2020",1024,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/1245590/Terraforming_Mars__Prelude/?snr=1_7_7_240_150_7,"Strategy, Board Game, Multiplayer"
599,Imperator: Rome - Heirs of Alexander Content Pack,"Win, Mac, Linux",1,185.0,185,90,Very Positive,"16 Feb, 2021",954,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1437660/Imperator_Rome__Heirs_of_Alexander_Content_Pack/?snr=1_7_7_240_150_7,"Strategy, Simulation"
600,Planet Zoo: North America Animal Pack,Win,0,125.0,125,84,Very Positive,"4 Oct, 2021",724,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1747960/Planet_Zoo_North_America_Animal_Pack/?snr=1_7_7_240_150_7,"Strategy, Simulation, Casual"
601,Tricky Towers,"Win, Mac, Linux",1,10240.0,10240,90,Very Positive,"2 Aug, 2016",2613,"14,99€",0.0,0,"14,99€",Party Game,https://store.steampowered.com/app/437920/Tricky_Towers/?snr=1_7_7_240_150_7,"Party Game, Multiplayer, Puzzle"
602,Brutal Legend,"Win, Mac, Linux",1,9309.0,9309,94,Very Positive,"26 Feb, 2013",3866,"14,99€",0.0,0,"14,99€",Action,https://store.steampowered.com/app/225260/Brutal_Legend/?snr=1_7_7_240_150_7,"Action, Comedy, Adventure"
603,ENDLESS™ Legend,"Win, Mac",1,13646.0,13646,84,Very Positive,"18 Sep, 2014",3297,"24,99€",0.0,0,"24,99€",Strategy,https://store.steampowered.com/app/289130/ENDLESS_Legend/?snr=1_7_7_240_150_7,"Strategy, 4X, Turn-Based"
604,STAR WARS™ Empire at War - Gold Pack,Win,0,27836.0,27836,97,Overwhelmingly Positive,"25 May, 2010",4874,"19,50€",0.0,0,"19,50€",Strategy,https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack/?snr=1_7_7_240_150_7,"Strategy, RTS, Space"
605,Papa's Freezeria Deluxe,Win,0,4604.0,4604,99,Overwhelmingly Positive,"31 Mar, 2023",181,"5,89€",0.0,0,"5,89€",Cooking,https://store.steampowered.com/app/2291760/Papas_Freezeria_Deluxe/?snr=1_7_7_240_150_7,"Cooking, Time Management, Casual"
606,Sid Meier's Civilization IV: Colonization,"Win, Mac",1,911.0,911,86,Very Positive,"23 Sep, 2008",5483,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/16810/Sid_Meiers_Civilization_IV_Colonization/?snr=1_7_7_240_150_7,"Strategy, Turn-Based Strategy, Turn-Based"
607,Middle-earth™: Shadow of War™,Win,0,67467.0,67467,88,Very Positive,"9 Oct, 2017",2180,"39,99€",0.0,0,"39,99€",Open World,https://store.steampowered.com/app/356190/Middleearth_Shadow_of_War/?snr=1_7_7_240_150_7,"Open World, Action, RPG"
608,Arma 3 Creator DLC: Global Mobilization - Cold War Germany,"Win, Mac",1,1643.0,0,0,,"29 Apr, 2019",1613,"19,99€",0.0,0,"19,99€",Action,https://store.steampowered.com/app/1042220/Arma_3_Creator_DLC_Global_Mobilization__Cold_War_Germany/?snr=1_7_7_240_150_7,"Action, Simulation, Strategy"
609,Command & Conquer 3: Tiberium Wars,Win,0,6265.0,6265,90,Very Positive,"13 Nov, 2009",5067,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/24790/Command__Conquer_3_Tiberium_Wars/?snr=1_7_7_240_150_7,"Strategy, RTS, Base Building"
610,XCOM 2: War of the Chosen - Tactical Legacy Pack,"Win, Mac, Linux",1,249.0,249,77,Mostly Positive,"3 Dec, 2018",1760,"7,99€",0.0,0,"7,99€",Strategy,https://store.steampowered.com/app/785300/XCOM_2_War_of_the_Chosen__Tactical_Legacy_Pack/?snr=1_7_7_240_150_7,"Strategy, Tactical"
611,MechWarrior Online™ Legends,Win,0,10804.0,10804,79,Mostly Positive,"10 Dec, 2015",2849,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/342200/MechWarrior_Online_Legends/?snr=1_7_7_240_150_7,"Free to Play, Mechs, Multiplayer"
612,Tavern Master,"Win, Mac, Linux",1,6165.0,6165,92,Very Positive,"16 Nov, 2021",681,"14,99€",0.0,0,"14,99€",Management,https://store.steampowered.com/app/1525700/Tavern_Master/?snr=1_7_7_240_150_7,"Management, Simulation, Building"
613,Darkest Dungeon®: The Color Of Madness,"Win, Mac, Linux",1,803.0,803,71,Mostly Positive,"19 Jun, 2018",1927,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/735730/Darkest_Dungeon_The_Color_Of_Madness/?snr=1_7_7_240_150_7,"Strategy, Indie, RPG"
614,Terraforming Mars - Hellas & Elysium,"Win, Mac",1,24.0,24,70,Mostly Positive,"11 May, 2022",505,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/1785010/Terraforming_Mars__Hellas__Elysium/?snr=1_7_7_240_150_7,"Strategy, Board Game"
615,Jupiter Hell,"Win, Mac, Linux",1,1300.0,1300,91,Very Positive,"5 Aug, 2021",784,"20,99€",0.0,0,"20,99€",Roguelike,https://store.steampowered.com/app/811320/Jupiter_Hell/?snr=1_7_7_240_150_7,"Roguelike, Turn-Based, Strategy"
616,Total War: WARHAMMER II - The Shadow & The Blade,"Win, Mac, Linux",1,734.0,0,0,,"12 Dec, 2019",1386,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/1158180/Total_War_WARHAMMER_II__The_Shadow__The_Blade/?snr=1_7_7_240_150_7,"Strategy, Action, Violent"
617,Shadow Tactics: Aiko's Choice,"Win, Linux",1,3046.0,3046,93,Very Positive,"6 Dec, 2021",661,"19,99€",0.0,0,"19,99€",Real Time Tactics,https://store.steampowered.com/app/1579380/Shadow_Tactics_Aikos_Choice/?snr=1_7_7_240_150_7,"Real Time Tactics, Strategy, Action"
618,Airship: Kingdoms Adrift,Win,0,199.0,0,0,,"21 Sep, 2023",7,"29,99€",100.0,1,0,Action,https://store.steampowered.com/app/1597310/Airship_Kingdoms_Adrift/?snr=1_7_7_240_150_7,"Action, RPG, Adventure"
619,Wildermyth - Armors and Skins,"Win, Mac, Linux",1,82.0,82,97,Very Positive,"4 May, 2023",147,"4,99€",0.0,0,"4,99€",RPG,https://store.steampowered.com/app/2139130/Wildermyth__Armors_and_Skins/?snr=1_7_7_240_150_7,"RPG, Strategy, Indie"
620,Zoeti,Win,0,59.0,59,84,Very Positive,"20 Apr, 2023",161,"19,50€",0.0,0,"19,50€",Strategy,https://store.steampowered.com/app/1434540/Zoeti/?snr=1_7_7_240_150_7,"Strategy, Roguelite, Deckbuilding"
621,The Jackbox Party Pack 9,"Win, Mac, Linux",1,434.0,434,84,Very Positive,"19 Oct, 2022",344,"29,99€",0.0,0,"29,99€",Casual,https://store.steampowered.com/app/1850960/The_Jackbox_Party_Pack_9/?snr=1_7_7_240_150_7,"Casual, Trivia, Board Game"
622,Stellar Tactics,Win,0,1171.0,1171,82,Very Positive,"22 Sep, 2016",2562,"19,50€",100.0,1,0,CRPG,https://store.steampowered.com/app/465490/Stellar_Tactics/?snr=1_7_7_240_150_7,"CRPG, RPG, Character Customization"
623,Space Engineers - Warfare 1,Win,0,114.0,0,0,,"22 Apr, 2021",889,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/1475830/Space_Engineers__Warfare_1/?snr=1_7_7_240_150_7,"Strategy, Action, Indie"
